,machineID,dt_truncated,comp1sum,comp2sum,comp3sum,comp4sum
41,13,2015-11-05 01:00:00,507.0,312.0,342.0,432.0
42,15,2015-03-12 13:00:00,269.0,209.0,89.0,194.0
43,15,2015-08-02 14:00:00,412.0,352.0,232.0,337.0
44,15,2015-08-06 02:00:00,416.0,356.0,236.0,341.0
45,15,2015-09-04 02:00:00,445.0,385.0,265.0,370.0
46,15,2015-10-25 13:00:00,496.0,436.0,316.0,421.0
47,15,2015-10-30 13:00:00,501.0,441.0,321.0,426.0
48,16,2015-01-06 13:00:00,54.0,84.0,69.0,219.0
49,16,2015-05-26 02:00:00,194.0,224.0,209.0,359.0
50,16,2015-08-06 02:00:00,266.0,296.0,281.0,431.0
51,16,2015-08-30 14:00:00,290.0,320.0,305.0,455.0
52,16,2015-11-14 01:00:00,366.0,396.0,381.0,531.0
53,17,2015-01-31 01:00:00,64.0,154.0,169.0,124.0
54,17,2015-02-04 13:00:00,68.0,158.0,173.0,128.0
55,17,2015-02-22 13:00:00,86.0,176.0,191.0,146.0
56,17,2015-05-04 02:00:00,157.0,247.0,262.0,217.0
57,17,2015-07-13 02:00:00,227.0,317.0,332.0,287.0
58,17,2015-08-18 14:00:00,263.0,353.0,368.0,323.0
59,17,2015-09-19 14:00:00,295.0,385.0,400.0,355.0
60,17,2015-11-02 13:00:00,339.0,429.0,444.0,399.0
61,18,2015-03-05 01:00:00,97.0,202.0,277.0,262.0
62,19,2015-01-20 01:00:00,203.0,158.0,38.0,233.0
63,19,2015-07-05 14:00:00,369.0,324.0,204.0,399.0
64,19,2015-09-04 14:00:00,430.0,385.0,265.0,460.0
65,20,2015-01-13 01:00:00,226.0,226.0,76.0,196.0
66,20,2015-04-01 02:00:00,304.0,304.0,154.0,274.0
67,20,2015-11-08 13:00:00,525.0,525.0,375.0,495.0
68,20,2015-11-19 13:00:00,536.0,536.0,386.0,506.0
69,21,2015-04-07 14:00:00,130.0,190.0,310.0,205.0
70,21,2015-08-23 02:00:00,268.0,328.0,448.0,343.0
71,21,2015-12-28 01:00:00,395.0,455.0,575.0,470.0
72,22,2015-02-19 13:00:00,53.0,188.0,248.0,68.0
73,22,2015-03-07 01:00:00,69.0,204.0,264.0,84.0
74,22,2015-05-07 02:00:00,130.0,265.0,325.0,145.0
75,23,2015-04-13 02:00:00,136.0,136.0,181.0,181.0
76,23,2015-09-25 02:00:00,301.0,301.0,346.0,346.0
77,23,2015-10-21 14:00:00,327.0,327.0,372.0,372.0
78,23,2015-10-28 13:00:00,334.0,334.0,379.0,379.0
79,23,2015-12-22 13:00:00,389.0,389.0,434.0,434.0
80,24,2015-05-22 14:00:00,250.0,325.0,220.0,280.0
81,24,2015-06-14 14:00:00,273.0,348.0,243.0,303.0
82,24,2015-10-23 14:00:00,404.0,479.0,374.0,434.0
83,24,2015-12-11 13:00:00,453.0,528.0,423.0,483.0
84,25,2015-01-07 13:00:00,100.0,40.0,205.0,100.0
85,25,2015-04-03 02:00:00,186.0,126.0,291.0,186.0
86,25,2015-07-08 14:00:00,282.0,222.0,387.0,282.0
87,25,2015-09-10 02:00:00,346.0,286.0,451.0,346.0
88,26,2015-04-27 14:00:00,195.0,330.0,315.0,150.0
89,26,2015-06-28 14:00:00,257.0,392.0,377.0,212.0
90,26,2015-08-11 02:00:00,301.0,436.0,421.0,256.0
91,27,2015-10-24 02:00:00,435.0,315.0,360.0,390.0
92,28,2015-02-05 13:00:00,234.0,129.0,219.0,144.0
93,28,2015-02-07 13:00:00,236.0,131.0,221.0,146.0
94,28,2015-03-16 13:00:00,273.0,168.0,258.0,183.0
95,28,2015-06-13 14:00:00,362.0,257.0,347.0,272.0
96,28,2015-07-04 02:00:00,383.0,278.0,368.0,293.0
97,28,2015-10-10 14:00:00,481.0,376.0,466.0,391.0
98,28,2015-11-12 01:00:00,514.0,409.0,499.0,424.0
99,29,2015-03-04 01:00:00,126.0,66.0,231.0,201.0
100,29,2015-04-06 02:00:00,159.0,99.0,264.0,234.0
101,29,2015-05-14 14:00:00,197.0,137.0,302.0,272.0
102,29,2015-06-20 14:00:00,234.0,174.0,339.0,309.0
103,29,2015-10-16 02:00:00,352.0,292.0,457.0,427.0
104,30,2015-09-06 02:00:00,432.0,282.0,402.0,432.0
105,30,2015-09-24 14:00:00,450.0,300.0,420.0,450.0
106,30,2015-10-15 14:00:00,471.0,321.0,441.0,471.0
107,31,2015-11-04 13:00:00,476.0,446.0,401.0,446.0
108,31,2015-11-09 01:00:00,481.0,451.0,406.0,451.0
109,31,2015-12-24 01:00:00,526.0,496.0,451.0,496.0
110,32,2015-02-14 01:00:00,153.0,63.0,198.0,123.0
111,32,2015-04-04 02:00:00,202.0,112.0,247.0,172.0
112,32,2015-07-17 14:00:00,306.0,216.0,351.0,276.0
113,32,2015-09-23 02:00:00,374.0,284.0,419.0,344.0
114,32,2015-10-12 02:00:00,393.0,303.0,438.0,363.0
115,32,2015-12-18 13:00:00,460.0,370.0,505.0,430.0
116,33,2015-06-11 02:00:00,270.0,285.0,195.0,240.0
117,33,2015-10-26 13:00:00,407.0,422.0,332.0,377.0
118,34,2015-05-11 02:00:00,284.0,239.0,224.0,329.0
119,34,2015-05-12 14:00:00,285.0,240.0,225.0,330.0
120,34,2015-05-16 14:00:00,289.0,244.0,229.0,334.0
121,34,2015-10-17 02:00:00,443.0,398.0,383.0,488.0
122,34,2015-10-20 14:00:00,446.0,401.0,386.0,491.0
123,34,2015-11-13 01:00:00,470.0,425.0,410.0,515.0
124,35,2015-02-02 01:00:00,51.0,186.0,111.0,231.0
125,35,2015-05-11 02:00:00,149.0,284.0,209.0,329.0
126,35,2015-07-19 02:00:00,218.0,353.0,278.0,398.0
127,35,2015-08-14 02:00:00,244.0,379.0,304.0,424.0
128,35,2015-08-30 02:00:00,260.0,395.0,320.0,440.0
129,36,2015-05-06 14:00:00,294.0,219.0,204.0,294.0
130,36,2015-07-25 02:00:00,374.0,299.0,284.0,374.0
131,36,2015-08-18 14:00:00,398.0,323.0,308.0,398.0
132,37,2015-01-06 01:00:00,99.0,219.0,129.0,144.0
133,37,2015-02-05 01:00:00,129.0,249.0,159.0,174.0
134,37,2015-05-06 02:00:00,219.0,339.0,249.0,264.0
135,37,2015-06-06 02:00:00,250.0,370.0,280.0,295.0
136,37,2015-08-05 14:00:00,310.0,430.0,340.0,355.0
137,37,2015-12-01 01:00:00,428.0,548.0,458.0,473.0
138,38,2015-11-04 13:00:00,386.0,476.0,341.0,371.0
139,40,2015-01-12 13:00:00,90.0,225.0,150.0,45.0
140,40,2015-02-11 13:00:00,120.0,255.0,180.0,75.0
141,40,2015-03-19 13:00:00,156.0,291.0,216.0,111.0
142,40,2015-04-28 14:00:00,196.0,331.0,256.0,151.0
143,40,2015-05-20 02:00:00,218.0,353.0,278.0,173.0
144,40,2015-09-18 14:00:00,339.0,474.0,399.0,294.0
145,40,2015-10-04 14:00:00,355.0,490.0,415.0,310.0
146,40,2015-10-28 13:00:00,379.0,514.0,439.0,334.0
147,40,2015-12-30 01:00:00,442.0,577.0,502.0,397.0
148,41,2015-01-10 01:00:00,103.0,223.0,148.0,163.0
149,41,2015-02-12 13:00:00,136.0,256.0,181.0,196.0
150,41,2015-07-13 02:00:00,287.0,407.0,332.0,347.0
151,41,2015-08-21 02:00:00,326.0,446.0,371.0,386.0
152,41,2015-09-28 02:00:00,364.0,484.0,409.0,424.0
153,41,2015-10-03 02:00:00,369.0,489.0,414.0,429.0
154,42,2015-02-18 01:00:00,157.0,112.0,232.0,217.0
155,42,2015-04-16 02:00:00,214.0,169.0,289.0,274.0
156,42,2015-06-22 02:00:00,281.0,236.0,356.0,341.0
157,42,2015-07-21 02:00:00,310.0,265.0,385.0,370.0
158,42,2015-11-14 13:00:00,426.0,381.0,501.0,486.0
159,42,2015-12-12 13:00:00,454.0,409.0,529.0,514.0
160,43,2015-11-01 01:00:00,473.0,503.0,458.0,368.0
161,43,2015-12-19 13:00:00,521.0,551.0,506.0,416.0
162,44,2015-03-21 01:00:00,203.0,248.0,278.0,98.0
163,44,2015-03-30 14:00:00,212.0,257.0,287.0,107.0
164,44,2015-08-13 02:00:00,348.0,393.0,423.0,243.0
165,44,2015-10-30 13:00:00,426.0,471.0,501.0,321.0
166,44,2015-12-05 01:00:00,462.0,507.0,537.0,357.0
167,45,2015-01-15 01:00:00,18.0,138.0,48.0,33.0
168,45,2015-07-19 14:00:00,203.0,323.0,233.0,218.0
169,45,2015-08-25 02:00:00,240.0,360.0,270.0,255.0
170,45,2015-10-17 14:00:00,293.0,413.0,323.0,308.0
171,45,2015-12-30 13:00:00,367.0,487.0,397.0,382.0
172,46,2015-01-23 01:00:00,101.0,116.0,221.0,221.0
173,46,2015-09-18 14:00:00,339.0,354.0,459.0,459.0
174,47,2015-07-16 14:00:00,350.0,245.0,260.0,410.0
175,47,2015-08-14 02:00:00,379.0,274.0,289.0,439.0
176,47,2015-08-27 14:00:00,392.0,287.0,302.0,452.0
177,48,2015-05-13 02:00:00,196.0,181.0,346.0,136.0
178,48,2015-09-08 14:00:00,314.0,299.0,464.0,254.0
179,48,2015-09-15 14:00:00,321.0,306.0,471.0,261.0
180,49,2015-02-15 01:00:00,169.0,79.0,199.0,109.0
181,49,2015-05-19 02:00:00,262.0,172.0,292.0,202.0
182,49,2015-06-30 14:00:00,304.0,214.0,334.0,244.0
183,49,2015-12-20 13:00:00,477.0,387.0,507.0,417.0
184,50,2015-08-07 02:00:00,282.0,402.0,342.0,327.0
185,51,2015-01-22 01:00:00,130.0,220.0,55.0,100.0
186,51,2015-05-26 14:00:00,254.0,344.0,179.0,224.0
187,51,2015-06-18 14:00:00,277.0,367.0,202.0,247.0
188,52,2015-02-21 13:00:00,85.0,265.0,115.0,100.0
189,52,2015-04-07 02:00:00,130.0,310.0,160.0,145.0
190,52,2015-05-19 02:00:00,172.0,352.0,202.0,187.0
191,52,2015-05-27 02:00:00,180.0,360.0,210.0,195.0
192,52,2015-06-26 02:00:00,210.0,390.0,240.0,225.0
193,52,2015-08-07 02:00:00,252.0,432.0,282.0,267.0
194,52,2015-08-30 14:00:00,275.0,455.0,305.0,290.0
195,52,2015-09-13 14:00:00,289.0,469.0,319.0,304.0
196,53,2015-01-16 13:00:00,49.0,79.0,94.0,34.0
197,53,2015-03-27 13:00:00,119.0,149.0,164.0,104.0
198,53,2015-04-18 14:00:00,141.0,171.0,186.0,126.0
199,53,2015-05-23 14:00:00,176.0,206.0,221.0,161.0
200,54,2015-03-30 02:00:00,92.0,272.0,302.0,182.0
201,54,2015-06-16 02:00:00,170.0,350.0,380.0,260.0
202,54,2015-07-24 02:00:00,208.0,388.0,418.0,298.0
203,55,2015-02-01 13:00:00,230.0,35.0,110.0,230.0
204,55,2015-03-08 01:00:00,265.0,70.0,145.0,265.0
205,56,2015-05-08 02:00:00,206.0,281.0,146.0,341.0
206,56,2015-06-02 14:00:00,231.0,306.0,171.0,366.0
207,56,2015-07-07 14:00:00,266.0,341.0,206.0,401.0
208,56,2015-11-08 01:00:00,390.0,465.0,330.0,525.0
209,56,2015-11-10 01:00:00,392.0,467.0,332.0,527.0
210,56,2015-12-11 01:00:00,423.0,498.0,363.0,558.0
211,57,2015-11-30 13:00:00,367.0,532.0,472.0,472.0
212,58,2015-04-18 02:00:00,171.0,231.0,246.0,291.0
213,58,2015-07-24 14:00:00,268.0,328.0,343.0,388.0
214,59,2015-01-29 01:00:00,32.0,197.0,167.0,92.0
215,59,2015-02-28 13:00:00,62.0,227.0,197.0,122.0
216,59,2015-03-30 14:00:00,92.0,257.0,227.0,152.0
217,59,2015-04-29 14:00:00,122.0,287.0,257.0,182.0
218,59,2015-06-19 14:00:00,173.0,338.0,308.0,233.0
219,59,2015-07-27 14:00:00,211.0,376.0,346.0,271.0
220,59,2015-11-16 13:00:00,323.0,488.0,458.0,383.0
221,59,2015-12-07 13:00:00,344.0,509.0,479.0,404.0
222,60,2015-03-22 01:00:00,294.0,249.0,189.0,174.0
223,60,2015-05-13 02:00:00,346.0,301.0,241.0,226.0
224,60,2015-12-23 01:00:00,570.0,525.0,465.0,450.0
225,61,2015-01-17 01:00:00,200.0,170.0,80.0,215.0
226,61,2015-03-12 13:00:00,254.0,224.0,134.0,269.0
227,61,2015-04-08 14:00:00,281.0,251.0,161.0,296.0
228,61,2015-05-29 02:00:00,332.0,302.0,212.0,347.0
229,61,2015-09-17 14:00:00,443.0,413.0,323.0,458.0
230,61,2015-09-26 14:00:00,452.0,422.0,332.0,467.0
231,61,2015-09-30 02:00:00,456.0,426.0,336.0,471.0
232,61,2015-12-10 13:00:00,527.0,497.0,407.0,542.0
233,62,2015-01-14 01:00:00,137.0,92.0,62.0,152.0
234,62,2015-01-17 01:00:00,140.0,95.0,65.0,155.0
235,62,2015-04-02 14:00:00,215.0,170.0,140.0,230.0
236,62,2015-07-12 14:00:00,316.0,271.0,241.0,331.0
237,62,2015-08-13 14:00:00,348.0,303.0,273.0,363.0
238,62,2015-11-20 01:00:00,447.0,402.0,372.0,462.0
239,63,2015-04-03 02:00:00,261.0,171.0,171.0,261.0
240,63,2015-05-17 14:00:00,305.0,215.0,215.0,305.0
241,63,2015-07-03 14:00:00,352.0,262.0,262.0,352.0
242,63,2015-10-04 02:00:00,445.0,355.0,355.0,445.0
243,63,2015-12-30 13:00:00,532.0,442.0,442.0,532.0
244,64,2015-02-23 13:00:00,177.0,102.0,87.0,222.0
245,64,2015-05-10 14:00:00,253.0,178.0,163.0,298.0
246,64,2015-08-03 14:00:00,338.0,263.0,248.0,383.0
247,64,2015-08-16 14:00:00,351.0,276.0,261.0,396.0
248,64,2015-10-17 14:00:00,413.0,338.0,323.0,458.0
249,65,2015-04-17 14:00:00,215.0,320.0,275.0,200.0
250,65,2015-05-06 02:00:00,234.0,339.0,294.0,219.0
251,65,2015-05-14 14:00:00,242.0,347.0,302.0,227.0
252,65,2015-07-01 02:00:00,290.0,395.0,350.0,275.0
253,65,2015-08-13 02:00:00,333.0,438.0,393.0,318.0
254,65,2015-12-30 13:00:00,472.0,577.0,532.0,457.0
255,66,2015-03-29 14:00:00,151.0,106.0,256.0,106.0
256,66,2015-04-19 02:00:00,172.0,127.0,277.0,127.0
257,66,2015-05-28 02:00:00,211.0,166.0,316.0,166.0
258,66,2015-08-29 14:00:00,304.0,259.0,409.0,259.0
259,67,2015-05-30 14:00:00,333.0,258.0,228.0,198.0
260,67,2015-09-03 14:00:00,429.0,354.0,324.0,294.0
261,67,2015-09-04 02:00:00,430.0,355.0,325.0,295.0
262,67,2015-11-25 01:00:00,512.0,437.0,407.0,377.0
263,68,2015-10-18 14:00:00,399.0,309.0,324.0,369.0
264,68,2015-11-17 01:00:00,429.0,339.0,354.0,399.0
265,69,2015-03-10 13:00:00,102.0,237.0,237.0,147.0
266,69,2015-05-16 14:00:00,169.0,304.0,304.0,214.0
267,69,2015-09-10 02:00:00,286.0,421.0,421.0,331.0
268,69,2015-11-18 13:00:00,355.0,490.0,490.0,400.0
269,69,2015-12-19 01:00:00,386.0,521.0,521.0,431.0
270,70,2015-03-03 13:00:00,110.0,215.0,95.0,245.0
271,70,2015-04-24 02:00:00,162.0,267.0,147.0,297.0
272,70,2015-09-20 02:00:00,311.0,416.0,296.0,446.0
273,71,2015-03-29 01:00:00,106.0,211.0,106.0,241.0
274,71,2015-06-01 02:00:00,170.0,275.0,170.0,305.0
275,72,2015-03-31 14:00:00,243.0,153.0,123.0,213.0
276,72,2015-04-01 14:00:00,244.0,154.0,124.0,214.0
277,73,2015-02-08 01:00:00,207.0,72.0,132.0,222.0
278,73,2015-04-05 02:00:00,263.0,128.0,188.0,278.0
279,73,2015-08-30 02:00:00,410.0,275.0,335.0,425.0
280,74,2015-03-27 13:00:00,209.0,209.0,179.0,299.0
281,74,2015-04-02 14:00:00,215.0,215.0,185.0,305.0
282,74,2015-04-16 02:00:00,229.0,229.0,199.0,319.0
283,74,2015-06-07 02:00:00,281.0,281.0,251.0,371.0
284,74,2015-06-11 14:00:00,285.0,285.0,255.0,375.0
285,74,2015-07-15 14:00:00,319.0,319.0,289.0,409.0
286,74,2015-08-23 14:00:00,358.0,358.0,328.0,448.0
287,75,2015-02-15 01:00:00,139.0,94.0,259.0,154.0
288,75,2015-08-08 02:00:00,313.0,268.0,433.0,328.0
289,75,2015-11-30 13:00:00,427.0,382.0,547.0,442.0
290,75,2015-12-01 01:00:00,428.0,383.0,548.0,443.0
291,76,2015-01-12 01:00:00,30.0,195.0,45.0,30.0
292,76,2015-02-14 01:00:00,63.0,228.0,78.0,63.0
293,76,2015-04-18 14:00:00,126.0,291.0,141.0,126.0
294,76,2015-07-08 14:00:00,207.0,372.0,222.0,207.0
295,76,2015-08-06 02:00:00,236.0,401.0,251.0,236.0
296,76,2015-09-18 14:00:00,279.0,444.0,294.0,279.0
297,77,2015-02-07 01:00:00,86.0,131.0,191.0,131.0
298,77,2015-04-21 14:00:00,159.0,204.0,264.0,204.0
299,77,2015-09-08 14:00:00,299.0,344.0,404.0,344.0
300,78,2015-01-10 13:00:00,208.0,193.0,43.0,148.0
301,78,2015-02-24 01:00:00,253.0,238.0,88.0,193.0
302,78,2015-05-03 02:00:00,321.0,306.0,156.0,261.0
303,78,2015-06-02 14:00:00,351.0,336.0,186.0,291.0
304,78,2015-10-21 14:00:00,492.0,477.0,327.0,432.0
305,78,2015-12-17 01:00:00,549.0,534.0,384.0,489.0
306,78,2015-12-24 01:00:00,556.0,541.0,391.0,496.0
307,79,2015-03-27 13:00:00,89.0,299.0,194.0,254.0
308,80,2015-01-05 01:00:00,38.0,68.0,38.0,98.0
309,80,2015-04-11 02:00:00,134.0,164.0,134.0,194.0
310,80,2015-05-27 02:00:00,180.0,210.0,180.0,240.0
311,80,2015-07-30 14:00:00,244.0,274.0,244.0,304.0
312,80,2015-08-26 02:00:00,271.0,301.0,271.0,331.0
313,80,2015-11-01 01:00:00,338.0,368.0,338.0,398.0
314,80,2015-12-29 13:00:00,396.0,426.0,396.0,456.0
315,81,2015-03-01 13:00:00,228.0,273.0,243.0,228.0
316,81,2015-07-31 02:00:00,380.0,425.0,395.0,380.0
317,81,2015-08-20 02:00:00,400.0,445.0,415.0,400.0
318,82,2015-06-08 14:00:00,327.0,237.0,357.0,252.0
319,82,2015-12-21 13:00:00,523.0,433.0,553.0,448.0
320,83,2015-05-19 02:00:00,142.0,247.0,202.0,217.0
321,83,2015-05-23 02:00:00,146.0,251.0,206.0,221.0
322,83,2015-06-11 14:00:00,165.0,270.0,225.0,240.0
323,83,2015-10-09 02:00:00,285.0,390.0,345.0,360.0
324,83,2015-11-05 13:00:00,312.0,417.0,372.0,387.0
325,83,2015-12-29 01:00:00,366.0,471.0,426.0,441.0
326,85,2015-01-03 13:00:00,171.0,66.0,201.0,141.0
327,85,2015-10-21 02:00:00,462.0,357.0,492.0,432.0
328,86,2015-08-18 02:00:00,233.0,443.0,428.0,413.0
329,86,2015-09-15 14:00:00,261.0,471.0,456.0,441.0
330,87,2015-01-15 13:00:00,33.0,108.0,108.0,93.0
331,87,2015-03-04 01:00:00,81.0,156.0,156.0,141.0
332,87,2015-06-13 14:00:00,182.0,257.0,257.0,242.0
333,88,2015-06-11 14:00:00,285.0,345.0,270.0,315.0
334,88,2015-07-15 14:00:00,319.0,379.0,304.0,349.0
335,88,2015-07-20 14:00:00,324.0,384.0,309.0,354.0
336,88,2015-07-23 14:00:00,327.0,387.0,312.0,357.0
337,88,2015-10-20 02:00:00,416.0,476.0,401.0,446.0
338,88,2015-11-28 01:00:00,455.0,515.0,440.0,485.0
339,88,2016-01-01 01:00:00,489.0,549.0,474.0,519.0
340,89,2015-04-07 14:00:00,100.0,250.0,130.0,100.0
341,89,2015-04-11 02:00:00,104.0,254.0,134.0,104.0
342,89,2015-06-29 02:00:00,183.0,333.0,213.0,183.0
343,89,2015-07-09 14:00:00,193.0,343.0,223.0,193.0
344,89,2015-10-22 02:00:00,298.0,448.0,328.0,298.0
345,90,2015-02-14 13:00:00,153.0,108.0,243.0,93.0
346,90,2015-03-27 13:00:00,194.0,149.0,284.0,134.0
347,90,2015-04-29 14:00:00,227.0,182.0,317.0,167.0
348,91,2015-01-03 01:00:00,21.0,51.0,186.0,96.0
349,91,2015-01-08 01:00:00,26.0,56.0,191.0,101.0
350,91,2015-05-12 14:00:00,150.0,180.0,315.0,225.0
351,91,2015-12-09 01:00:00,361.0,391.0,526.0,436.0
352,92,2015-08-17 14:00:00,427.0,262.0,337.0,292.0
353,93,2015-01-26 13:00:00,194.0,149.0,239.0,149.0
354,93,2015-03-25 13:00:00,252.0,207.0,297.0,207.0
355,93,2015-03-31 14:00:00,258.0,213.0,303.0,213.0
356,93,2015-04-19 02:00:00,277.0,232.0,322.0,232.0
357,93,2015-10-02 14:00:00,443.0,398.0,488.0,398.0
358,94,2015-05-11 02:00:00,299.0,149.0,254.0,254.0
359,94,2015-06-20 02:00:00,339.0,189.0,294.0,294.0
360,94,2015-07-11 02:00:00,360.0,210.0,315.0,315.0
361,94,2015-11-30 01:00:00,502.0,352.0,457.0,457.0
362,94,2015-12-09 01:00:00,511.0,361.0,466.0,466.0
363,95,2015-05-24 14:00:00,342.0,267.0,327.0,357.0
364,95,2015-09-30 14:00:00,471.0,396.0,456.0,486.0
365,96,2015-01-25 13:00:00,238.0,163.0,163.0,163.0
366,96,2015-03-28 01:00:00,300.0,225.0,225.0,225.0
367,96,2015-03-31 02:00:00,303.0,228.0,228.0,228.0
368,96,2015-04-15 14:00:00,318.0,243.0,243.0,243.0
369,96,2015-04-16 14:00:00,319.0,244.0,244.0,244.0
370,96,2015-04-19 02:00:00,322.0,247.0,247.0,247.0
371,96,2015-10-26 13:00:00,512.0,437.0,437.0,437.0
372,97,2015-03-28 13:00:00,270.0,270.0,195.0,270.0
373,97,2015-07-05 14:00:00,369.0,369.0,294.0,369.0
374,97,2015-08-01 14:00:00,396.0,396.0,321.0,396.0
375,97,2015-09-28 02:00:00,454.0,454.0,379.0,454.0
376,97,2015-09-29 02:00:00,455.0,455.0,380.0,455.0
377,98,2015-01-22 13:00:00,145.0,85.0,145.0,115.0
378,98,2015-07-21 14:00:00,325.0,265.0,325.0,295.0
379,98,2015-10-30 13:00:00,426.0,366.0,426.0,396.0
380,98,2015-12-19 13:00:00,476.0,416.0,476.0,446.0
381,99,2015-02-15 13:00:00,94.0,49.0,49.0,214.0
382,99,2015-03-21 01:00:00,128.0,83.0,83.0,248.0
383,99,2015-04-17 14:00:00,155.0,110.0,110.0,275.0
384,99,2015-06-20 14:00:00,219.0,174.0,174.0,339.0
385,99,2015-12-26 01:00:00,408.0,363.0,363.0,528.0
386,100,2015-02-08 13:00:00,147.0,57.0,72.0,162.0
387,100,2015-09-26 02:00:00,377.0,287.0,302.0,392.0
388,100,2015-10-26 01:00:00,407.0,317.0,332.0,422.0
389,100,2015-12-04 01:00:00,446.0,356.0,371.0,461.0
390,1,2015-02-16 13:00:00,65.0,260.0,200.0,215.0
391,1,2015-10-30 13:00:00,321.0,516.0,456.0,471.0
392,1,2015-10-31 13:00:00,322.0,517.0,457.0,472.0
393,1,2015-12-11 13:00:00,363.0,558.0,498.0,513.0
394,2,2015-02-21 13:00:00,250.0,190.0,220.0,85.0
395,2,2015-08-01 14:00:00,411.0,351.0,381.0,246.0
396,2,2015-12-12 13:00:00,544.0,484.0,514.0,379.0
397,3,2015-03-18 13:00:00,215.0,110.0,275.0,260.0
398,3,2015-05-25 14:00:00,283.0,178.0,343.0,328.0
399,3,2015-06-15 02:00:00,304.0,199.0,364.0,349.0
400,3,2015-07-08 02:00:00,327.0,222.0,387.0,372.0
401,3,2015-08-15 02:00:00,365.0,260.0,425.0,410.0
402,3,2015-10-09 02:00:00,420.0,315.0,480.0,465.0
403,3,2015-10-29 01:00:00,440.0,335.0,500.0,485.0
404,3,2015-11-20 13:00:00,462.0,357.0,522.0,507.0
405,3,2015-12-29 13:00:00,501.0,396.0,561.0,546.0
406,4,2015-04-24 14:00:00,267.0,312.0,162.0,132.0
407,4,2015-09-23 14:00:00,419.0,464.0,314.0,284.0
408,4,2015-12-27 13:00:00,514.0,559.0,409.0,379.0
409,5,2015-02-28 13:00:00,137.0,182.0,197.0,152.0
410,5,2015-06-29 14:00:00,258.0,303.0,318.0,273.0
411,5,2015-12-09 13:00:00,421.0,466.0,481.0,436.0
412,6,2015-03-14 13:00:00,76.0,286.0,181.0,181.0
413,6,2015-07-27 02:00:00,211.0,421.0,316.0,316.0
414,6,2015-08-14 14:00:00,229.0,439.0,334.0,334.0
415,7,2015-02-11 01:00:00,225.0,180.0,225.0,75.0
416,7,2015-03-31 14:00:00,273.0,228.0,273.0,123.0
417,7,2015-04-29 02:00:00,302.0,257.0,302.0,152.0
418,7,2015-05-15 14:00:00,318.0,273.0,318.0,168.0
419,8,2015-02-18 01:00:00,82.0,127.0,172.0,67.0
420,8,2015-06-17 14:00:00,201.0,246.0,291.0,186.0
421,8,2015-09-19 02:00:00,295.0,340.0,385.0,280.0
